locality,proprety_type,price,bedrooms,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool,commune_code
6061 Montignies-sur-Sambre,4,35000,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,6061
6183 Trazegnies,4,35000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,6183
6020 Dampremy,4,35000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,6020
6592 Monceau-Imbrechies,4,35000,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,6592
7390 Quaregnon,4,35000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,94.0,44.0,2.0,1,0.0,7390
5575 Willerzie,4,35000,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,2.0,0,0.0,5575
5620 Saint-Aubin,4,35000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,2.0,4,0.0,5620
6224 Wanferce-Baulet,4,35000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2.0,1,0.0,6224
7012 Jemappes,4,35000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,7012
7860 Lessines,4,37500,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,7860
5580 Jemelle,4,39000,2.0,0,0.0,0.0,0.0,0.0,1.0,10.0,120.0,99.0,2.0,4,0.0,5580
8400 Oostende,4,39000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,8400
6061 Montignies-sur-Sambre,4,39000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,2.0,5,0.0,6061
3920 Lommel,4,39000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,3920
8200 Sint-Andries,4,39400,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,4,0.0,8200
3920 Lommel,4,39500,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,3920
7100 HAINE-SAINT-PIERRE,4,39999,2.0,0,0.0,0.0,1.0,7.0,1.0,56.0,62.0,95.0,2.0,1,0.0,7100
5580 Rochefort Han-sur-Lesse,0,40000,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,1,0.0,5580
4100 Seraing,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,76.0,114.0,2.0,1,0.0,4100
7012 Jemappes,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,94.0,150.0,2.0,1,0.0,7012
8930 Menen,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,2.0,2,0.0,8930
5550 Membre,0,40000,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,4,0.0,5550
4480 Engis,1,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,4480
7170 Manage,4,40000,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,2.0,1,0.0,7170
7390 Quaregnon,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,1,0.0,7390
6567 Merbes-le-Chteau,4,40000,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,173.0,370.0,2.0,4,0.0,6567
7160 Chapelle-lez-Herlaimont,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,7160
7390 Quaregnon,4,40000,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,7390
7350 Hensies,4,40000,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,4,0.0,7350
5660 Brly,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,2.0,4,0.0,5660
6041 Gosselies,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,6041
7131 Waudrez,4,40000,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,2.0,4,0.0,7131
7380 Quivrain,4,40000,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,2.0,4,0.0,7380
6250 ROSELIES,5,40000,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,132.0,950.0,4.0,4,0.0,6250
